ID3v2.3,MP3,Zusammenklang - Turning Back (Andreas Henneberg Remix),,,,,,<int Value>,,,<map[string]interface {} Value>,f8b91d0c7c72ab865ce2cb4e2d6cdb5529f51d83,
ID3v2.3,MP3,[SYST008] Andreas Henneberg Sound Signature audio demo,,,,,,<int Value>,,,<map[string]interface {} Value>,ff89e892006d9a280156bc11a8a3e093008dd96b,
ID3v2.3,MP3,andhim - Domplatte,,,,,,<int Value>,,,<map[string]interface {} Value>,36e39d741da61ff6ec04e43180460eff99a5ce82,

ID3v2.3,MP3,03 Neal Porter & Dennis Booka - Someone Else (Animal Trainer Remix Snip - out 28.07.2014),,,,,,<int Value>,,,<map[string]interface {} Value>,595483ae2cd71c007221deaf64047c2dc2247437,
ID3v2.3,MP3,Animal Trainer - Trial And Error,,,,,,<int Value>,,,<map[string]interface {} Value>,0700ae40a852897e186089e4d60b6929c83bdd27,
ID3v2.4,MP3,ChetFaker - Cigarettes&Chocolate - AnimalTrainerEdit FREE DOWNLOAD,,,,,,<int Value>,,,<map[string]interface {} Value>,dbaec0dc36fb7c40187d77342690499ac1e0b9d4,
ID3v2.4,MP3,Christian Prommer with Bugsy - Future Light feat. Jinadu (Animal Trainer Remix),,,,,,<int Value>,,,<map[string]interface {} Value>,bb3697b3dc14443165fd029ba96bfac24c000911,
ID3v2.3,MP3,Dario Dattis - The Good Old Days (Animal Trainer Remix)- Defected,,,,,,<int Value>,,,<map[string]interface {} Value>,ae8078f4ae482c7fcd650b295db32ea5926b7524,
ID3v2.4,MP3,Lee Van Dowski & Animal Trainer - This One Goes To Eleven (Original Mix),,,,,,<int Value>,,,<map[string]interface {} Value>,75a23251677adecff8da7f6ffac1460465c3fda2,
ID3v2.3,MP3,Manuelle Musik & Steffen Sonnenschein - Phos (Animal Trainer Remix)-Snippet,,,,,,<int Value>,,,<map[string]interface {} Value>,f4bcea5be9b9c93a60c0b72173327d4729c59bcd,
ID3v2.3,MP3,Moonbootica - June (Animal Trainer Remix),,,,,,<int Value>,,,<map[string]interface {} Value>,8ef60be4855eb186eae3898d7019020930931b53,
ID3v2.3,MP3,OUT NOW  Kreature - Transient Control (Animal Trainer Remix),,,,,,<int Value>,,,<map[string]interface {} Value>,7488e286aca0fb710a728e00ccf804d2ef011d2d,
ID3v2.3,MP3,Rochelle Vincente Von K - One Starry Night (Animal Trainer Space Disco Remix) smpl,,,,,,<int Value>,,,<map[string]interface {} Value>,8907171b082b7d40d9ac05468da299d4257f666a,

ID3v2.3,MP3,02. Flying Circus Ibiza 01 Compiled & Mixed By Blondish MINI MIX,,,,,,<int Value>,,,<map[string]interface {} Value>,f888647ef278d84e995123c4c8aa94ba95ca297b,
ID3v2.3,MP3,Blondish - Birds Eat Birds,,,,,,<int Value>,,,<map[string]interface {} Value>,fe4dbda5c2e5eec2c75fbdf19b1275695c728e03,
ID3v2.3,MP3,Blondish - Endless Games,,,,,,<int Value>,,,<map[string]interface {} Value>,de5b3c7d17c4492921b86a5883de00451aabbdd5,
